Player,SO,IP,Year,Age,Tm,Lg,G,GS,CG,SHO,GF,W,L,W-L%,SV,H,R,ER,BB,ERA,FIP,K%,BB%,ERA+,BAbip,HR,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,BA,OBP,SLG,OPS,OPS+,Pit,Str
Jake Odorizzi\odorija01,178,159,2019,29,MIN,AL,30,30,0,0,0,15,7,0.682,0,139,65,62,53,3.51,3.36,27.10%,8.10%,131,0.305,16,658,593,29,2,0,4,4,4,9,1,3,2,0,4,0.234,0.3,0.371,0.671,77,2785,1775
German Marquez\marquge01,175,174,2019,24,COL,NL,28,28,1,1,0,12,5,0.706,0,174,96,92,35,4.76,4.06,24.30%,4.90%,109,0.308,29,721,671,27,4,0,5,6,4,13,4,6,2,1,14,0.259,0.299,0.441,0.74,81,2616,1748
Max Fried\friedma01,173,165.2,2019,25,ATL,NL,33,30,1,0,1,17,6,0.739,0,174,80,74,47,4.02,3.72,24.60%,6.70%,113,0.338,21,702,644,33,0,3,5,3,2,15,4,2,5,1,11,0.27,0.324,0.419,0.743,93,2669,1724
Mike Clevinger\clevimi01,169,126,2019,28,CLE,AL,21,21,0,0,0,13,4,0.765,0,96,38,38,37,2.71,2.49,33.90%,7.40%,174,0.306,10,499,459,24,1,0,2,0,1,4,9,5,1,0,0,0.209,0.271,0.331,0.602,57,2090,1326
Reynaldo Lopez\lopezre01,169,184,2019,25,CHW,AL,33,33,1,0,0,10,15,0.4,0,203,119,110,65,5.38,5.04,20.90%,8.00%,85,0.317,35,809,729,44,3,0,8,2,5,18,13,4,1,2,5,0.278,0.342,0.491,0.833,120,3163,2040
Kenta Maeda\maedake01,169,153.2,2019,31,LAD,NL,37,26,0,0,3,10,8,0.556,3,114,70,69,51,4.04,3.95,27.10%,8.20%,102,0.245,22,624,564,21,4,1,4,2,3,7,7,1,0,0,3,0.202,0.272,0.371,0.642,73,2433,1599
Caleb Smith\smithca03,168,153.1,2019,27,MIA,NL,28,28,0,0,0,10,11,0.476,0,128,82,77,60,4.52,5.11,26.00%,9.30%,94,0.252,33,646,573,29,2,2,6,2,5,5,8,3,2,1,6,0.223,0.301,0.454,0.755,104,2661,1720
Anthony DeSclafani\desclan01,167,166.2,2019,29,CIN,NL,31,31,0,0,0,9,9,0.5,0,151,77,72,49,3.89,4.43,24.00%,7.00%,117,0.276,29,696,635,28,1,5,4,5,3,9,11,3,0,1,2,0.238,0.295,0.422,0.717,86,2668,1712
Jon Lester\lestejo01,165,171.2,2019,35,CHC,NL,31,31,0,0,0,13,10,0.565,0,205,101,85,52,4.46,4.26,21.60%,6.80%,100,0.35,26,764,698,35,5,0,5,5,4,18,10,6,0,0,3,0.294,0.345,0.47,0.815,114,3043,1904
Jakob Junis\junisja01,164,175.1,2019,26,KCR,AL,31,31,0,0,0,9,14,0.391,0,192,108,102,58,5.24,4.82,21.30%,7.50%,90,0.318,31,771,696,37,2,1,11,0,5,15,13,1,0,0,4,0.276,0.339,0.468,0.807,111,2926,1851
Hyun-Jin Ryu\ryuhy01,163,182.2,2019,32,LAD,NL,29,29,1,1,0,14,5,0.737,0,160,53,47,24,2.32,3.1,22.50%,3.30%,179,0.282,17,723,685,35,0,2,4,8,2,17,1,1,2,0,0,0.234,0.263,0.359,0.622,67,2705,1798
Dylan Bundy\bundydy01,162,161.2,2019,26,BAL,AL,30,30,0,0,0,7,14,0.333,0,161,95,86,58,4.79,4.73,23.10%,8.30%,99,0.297,29,700,628,40,1,0,6,1,7,15,11,2,0,1,7,0.256,0.322,0.462,0.784,106,2778,1808
Julio Teheran\teherju01,162,174.2,2019,28,ATL,NL,33,33,0,0,0,10,11,0.476,0,148,81,74,83,3.81,4.66,21.50%,11.00%,119,0.27,22,754,645,33,2,3,14,6,5,12,15,3,1,1,5,0.229,0.328,0.389,0.717,87,3036,1881
Kyle Gibson\gibsoky01,160,160,2019,31,MIN,AL,34,29,0,0,0,13,7,0.65,0,175,99,86,56,4.84,4.26,22.70%,7.90%,95,0.333,23,706,637,30,4,0,7,3,2,17,6,3,1,0,8,0.275,0.339,0.443,0.782,105,2764,1700
Marcus Stroman\stromma01,159,184.1,2019,28,TOT,ML,32,32,0,0,0,10,13,0.435,0,183,77,66,58,3.22,3.72,20.50%,7.50%,136,0.308,18,774,711,32,2,1,1,1,2,17,11,8,2,0,7,0.257,0.313,0.384,0.697,89,3045,1886
